,Tm,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 15,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 20,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Year
0,Boston Celtics,16.0,10.0,0.615,18,8,109.4,103.3,6.1,85.9,0.354,0.224,0.541,,0.487,12.9,29.5,0.277,,0.463,14.4,74.6,0.313,2008
1,New Orleans Hornets,7.0,5.0,0.583,8,4,111.5,107.3,4.2,86.6,0.25,0.173,0.537,,0.499,8.9,24.2,0.193,,0.483,12.3,73.2,0.235,2008
2,Detroit Pistons,10.0,7.0,0.588,10,7,108.0,105.2,2.8,84.7,0.32,0.179,0.538,,0.485,13.2,27.7,0.257,,0.478,14.7,68.7,0.275,2008
3,Cleveland Cavaliers,7.0,6.0,0.538,8,5,104.6,102.1,2.5,85.9,0.395,0.262,0.517,,0.465,13.7,29.1,0.285,,0.46,13.4,75.2,0.285,2008
4,Los Angeles Lakers,14.0,7.0,0.667,12,9,110.0,107.6,2.4,92.7,0.371,0.241,0.56,,0.512,12.7,22.2,0.279,,0.477,12.3,71.1,0.255,2008
5,Orlando Magic,5.0,5.0,0.5,6,4,111.0,109.2,1.8,87.5,0.322,0.336,0.564,,0.529,14.4,29.0,0.229,,0.464,8.9,75.0,0.226,2008
6,Utah Jazz,6.0,6.0,0.5,6,6,110.1,110.4,-0.3,89.1,0.33,0.204,0.528,,0.481,12.1,33.4,0.247,,0.49,12.2,73.7,0.314,2008
7,San Antonio Spurs,9.0,8.0,0.529,8,9,103.9,104.8,-0.9,89.5,0.261,0.252,0.529,,0.493,12.6,21.4,0.194,,0.486,10.8,77.6,0.197,2008
8,Phoenix Suns,1.0,4.0,0.2,2,3,104.1,106.1,-2.0,92.6,0.369,0.18,0.524,,0.492,11.5,21.9,0.235,,0.493,11.9,76.3,0.216,2008
9,Houston Rockets,2.0,4.0,0.333,2,4,103.8,106.7,-2.9,84.8,0.333,0.254,0.488,,0.446,10.7,29.8,0.227,,0.482,12.4,69.3,0.231,2008
10,Washington Wizards,2.0,4.0,0.333,2,4,104.9,108.7,-3.8,87.9,0.386,0.262,0.524,,0.466,12.3,23.4,0.295,,0.485,13.2,67.8,0.265,2008
11,Toronto Raptors,1.0,4.0,0.2,2,3,110.1,115.2,-5.1,90.3,0.224,0.28,0.528,,0.484,9.6,23.1,0.194,,0.533,13.3,69.7,0.26,2008
12,Philadelphia 76ers,2.0,4.0,0.333,2,4,99.8,107.9,-8.1,86.0,0.402,0.105,0.488,,0.43,14.4,33.9,0.29,,0.523,17.0,67.0,0.188,2008
13,Dallas Mavericks,1.0,4.0,0.2,1,4,108.0,118.2,-10.2,87.0,0.381,0.264,0.511,,0.447,11.2,31.7,0.299,,0.527,8.4,75.5,0.206,2008
14,Denver Nuggets,0.0,4.0,0.0,1,3,104.3,117.9,-13.6,97.4,0.328,0.203,0.501,,0.452,12.5,34.6,0.243,,0.536,10.7,74.1,0.24,2008
15,Atlanta Hawks,3.0,4.0,0.429,1,6,101.6,115.6,-14.0,85.8,0.441,0.174,0.512,,0.439,15.7,30.5,0.345,,0.503,10.4,67.3,0.206,2008
0,Cleveland Cavaliers,10.0,4.0,0.714,11,3,112.6,102.7,9.9,86.1,0.383,0.263,0.556,,0.507,12.3,27.6,0.284,,0.48,12.5,78.3,0.23,2009
1,Denver Nuggets,10.0,6.0,0.625,12,4,116.8,107.5,9.3,92.4,0.426,0.269,0.579,,0.526,11.5,26.4,0.324,,0.493,14.8,74.7,0.326,2009
2,Los Angeles Lakers,16.0,7.0,0.696,17,6,111.4,103.5,7.9,91.1,0.342,0.229,0.553,,0.508,12.3,27.1,0.255,,0.471,13.7,73.8,0.27,2009
3,Orlando Magic,13.0,11.0,0.542,14,10,107.3,105.3,2.0,89.2,0.36,0.309,0.555,,0.513,13.1,21.6,0.26,,0.488,12.7,77.2,0.232,2009
4,Miami Heat,3.0,4.0,0.429,4,3,106.7,105.6,1.1,82.6,0.324,0.287,0.554,,0.501,14.4,25.2,0.265,,0.464,12.5,73.1,0.261,2009
5,Boston Celtics,7.0,7.0,0.5,7,7,106.3,106.3,0.0,91.4,0.309,0.222,0.535,,0.485,12.5,25.1,0.245,,0.493,13.3,77.8,0.265,2009
6,Dallas Mavericks,5.0,5.0,0.5,5,5,113.0,114.0,-1.0,89.9,0.375,0.272,0.576,,0.518,12.8,24.7,0.305,,0.525,11.0,77.4,0.271,2009
7,Houston Rockets,7.0,6.0,0.538,6,7,104.7,106.4,-1.7,87.4,0.288,0.265,0.533,,0.49,14.2,24.8,0.221,,0.487,11.6,73.7,0.21,2009
8,Chicago Bulls,3.0,4.0,0.429,3,4,105.9,110.1,-4.2,92.6,0.343,0.221,0.54,,0.483,13.9,24.3,0.277,,0.495,11.6,73.2,0.243,2009
9,Portland Trail Blazers,2.0,4.0,0.333,2,4,103.9,110.2,-6.3,83.9,0.264,0.19,0.524,,0.484,12.0,23.7,0.201,,0.517,12.8,76.1,0.222,2009
10,San Antonio Spurs,1.0,4.0,0.2,1,4,105.4,112.4,-7.0,85.7,0.269,0.23,0.528,,0.495,11.4,21.3,0.191,,0.516,12.1,76.6,0.274,2009
